username, first name, last name, phone,"	dob", gender
shuvo,Falguni,Shuvo,1234567890,19-03-18,male
saddy,Sadman,Walid,1234567890,23-03-18,male
supernova,Sadia,Kamal,1234567890,12/6/2018,female
bdfood,Bangladesh,Food,1.23E+12,9/6/2018,other
Check1,a,z,1254789632,1/31/1980,male
xiaomi,sun,mi,1.23E+14,1/10/2018,other
,,,,,
,,,,,
,,,,,
asdf,adsfa,adsfdas,dsfasdfasdfasdf,2018-02-26,male
dasfasdf,adsfdasf,adsfdsaf,asdfdfadsfdasfdasf,2018-03-13,male
DSFDASF,ADSFASDF,ADSFDASF,AFDASFADSF,ADFADF@,1212-02-02,male
